Number,Team Number,Prospect Name,Year,Overall Pick,Information,URLLink,OriginalTeam
111,31,Pierre-Olivier Joseph,2017,31,,,0,
112,6,Filip Gustavsson,2016,43,,,0,
113,9,Jeremie Poirier,2020,51,,,0,
114,24,Luke Tuch,2020,52,,,0,
115,31,Tyler Parsons,2016,46,,,0,
116,11,Isaac Ratcliffe,2017,32,,,0,
117,10,Nolan Foote,2019,29,,,0,
118,28,Conor Timmins,2017,34,,,0,
119,31,Shane Bowers,2017,35,,,0,
120,31,Brayden Tracey,2019,30,,,0,
121,9,Yan Kuznetsov,2020,53,,,0,
122,15,Lukas Elvenes,2017,97,,,0,
123,6,Roni Hirvonen,2020,54,,,0,
124,5,Jason Robertson,2017,37,,,0,
125,5,Trent Miner,2019,130,,,0,
126,28,Simon Holmstrom,2019,31,,,0,
127,12,Cross Hanas,2020,55,,,0,
128,5,Raphael Lavoie,2019,32,,,0,
129,30,Jaret Anderson-Dolan,2017,39,,,0,
130,2,Tyler Kleven,2020,56,,,0,
131,19,William Bitten,2016,48,,,0,
132,12,Dylan Samberg,2017,41,,,0,
133,2,Nils Lundkvist,2018,28,,,0,
134,2,Akil Thomas,2018,29,,,0,
135,18,Jay O'Brien,2018,30,,,0,
136,24,Luke Martin,2017,42,,,0,
137,31,Aleksi Heponiemi,2017,43,,,0,
138,11,Jean-Luc Foudy,2020,57,,,0,
139,6,Kasper Simontaival,2020,58,,,0,
140,7,Jett Woo,2018,32,,,0,
141,12,John Beecher,2019,33,,,0,
142,9,Jonah Gadjovich,2017,44,,,0,
143,3,Egor Sokolov,2020,59,,,0,
144,5,Ukko-Pekka Luukkonen,2017,45,,,0,
145,20,Ryan McLeod,2018,33,,,0,
146,15,Jacob Olofsson,2018,34,,,0,
147,20,William Cuylle,2020,60,,,0,
148,11,Joni Ikonen,2017,46,,,0,
149,12,Antti Tuomisto,2019,34,,,0,
150,8,Nathan Bastian,2016,53,,,0,
151,23,Leevi Merilainen,2020,61,,,0,
152,19,Keaton Thompson,2013,98,,,0,
153,28,Marcus Davidsson,2017,47,,,0,
154,19,Jared McIsaac,2018,35,,,0,
155,6,Wade Allison,2016,55,,,0,
156,26,Jonathan Dahlen,2016,56,,,0,
157,12,Shane Pinto,2019,35,,,0,
158,7,Artur Kayumov,2016,57,,,0,
159,17,Gage Goncalves,2020,62,,,0,
160,16,Eric Roy,2013,102,,,0,
161,11,Jan Kostalek,2013,103,,,0,
162,6,Danil Gushchin,2020,63,,,0,
163,23,Filip Westerlund,2017,49,,,0,
164,1,Emil Andrae,2020,64,,,0,
165,9,Joni Jurmo,2020,65,,,0,
166,4,Anthony Florentino,2013,105,,,0,
167,17,Brock Faber,2020,66,,,0,
168,24,Topi Niemela,2020,67,,,0,
169,22,Rafael Harvey-Pinard,2019,207,,,0,
170,30,Samuel Fagemo,2019,36,,,0,
171,6,Eemil Viro,2020,68,,,0,
172,12,Michael DiPietro,2017,52,,,0,
173,9,Bode Wilde,2018,36,,,0,
174,6,Alexander Alexeyev,2018,37,,,0,
175,6,Ty Smilanic,2020,69,,,0,
176,8,Santeri Virtanen,2017,98,,,0,
177,13,Josh Anderson,2016,84,,,0,
178,2,Simon Johansson,2018,121,,,0,
179,24,Alex Laferriere,2020,70,,,0,
180,24,Brett Leason,2019,37,,,0,
181,15,Lukas Cormier,2020,71,,,0,
182,24,Ian Mitchell,2017,54,,,0,
183,25,Jacob Bernard-Docker,2018,38,,,0,
184,31,Filip Johansson,2018,39,,,0,
185,6,Mattias Samuelsson,2018,40,,,0,
187,3,Yegor Rykov,2016,172,,,0,
188,15,Alex Formenton,2017,55,,,0,
189,26,Bobby Brink,2019,38,,,0,
190,23,Linus Soderstrom,2014,107,,,0,
191,2,Markus Niemelainen,2016,63,,,0,
192,18,Mason Lohrei,2020,72,,,0,
193,2,Grant Mismash,2017,56,,,0,
194,8,James Greenway,2016,85,,,0,
195,5,Nick Robertson,2019,39,,,0,
196,15,Dmitri Samorukov,2017,99,,,0,
197,7,Jake Leschyshyn,2017,57,,,0,
198,14,Landon Slaggert,2020,73,,,0,
199,21,Daniel Audette,2014,108,,,0,
200,6,Jesse Ylonen,2018,41,,,0,
201,15,Nicolas Daws,2020,74,,,0,
202,24,Pyotr Kochetkov,2019,40,,,0,
203,31,Tyler Tucker,2018,200,,,0,
204,8,Ryan Johnson,2019,41,,,0,
205,15,Alexander Romanov,2018,42,,,0,
206,6,Daemon Hunt,2020,75,,,0,
207,1,Scott Perunovich,2018,43,,,0,
208,19,Anatoli Golyshev,2016,66,,,0,
209,3,Trevor Kuntar,2020,76,,,0,
210,9,Daniil Tarasov,2017,58,,,0,
211,21,Cam Dineen,2016,67,,,0,
212,14,Eemeli Rasanen,2017,59,,,0,
213,28,Martin Chromiak,2020,77,,,0,
214,7,Jack Drury,2018,44,,,0,
215,23,Matthew Hellickson,2017,216,,,0,
216,1,Cliff Pu,2016,68,,,0,
217,1,Luke Green,2016,69,,,0,
218,14,Maxim Groshev,2020,78,,,0,
219,6,Egor Afanasyev,2019,42,,,0,
220,9,Carter Savoie,2020,79,,,0,
221,4,Matthew Robertson,2019,43,,,0,
222,18,Adam Ginning,2018,45,,,0,
223,28,Zayde Wisdom,2020,80,,,0,
224,4,Justin Sourdif,2020,81,,,0,
225,1,Mason McDonald,2014,35,,,0,
226,4,Will Reilly,2017,217,,,0,
227,9,William Lockwood,2016,70,,,0,
228,1,Robin Salo,2017,61,,,0,
229,6,Calle Clang,2020,82,,,0,
230,10,Benoit-Olivier Groulx,2018,46,,,0,
231,22,Arvid Costmar,2019,208,,,0,
232,6,Jan Bednar,2020,83,,,0,
233,2,Kasper Bjorkqvist,2016,72,,,0,
235,1,Alexei Lipanov,2017,62,,,0,
236,31,Calen Addison,2018,47,,,0,
237,11,Dylan Peterson,2020,84,,,0,
238,13,Fabian Zetterlund,2017,63,,,0,
239,27,Wouter Peeters,2016,74,,,0,
240,31,Josh Brook,2017,64,,,0,
241,3,Donovan Sebrango,2020,85,,,0,
242,15,Zion Nybeck,2020,86,,,0,
243,5,Kody Clark,2018,48,,,0,
244,28,Jack Studnicka,2017,67,,,0,
245,9,Dylan Garand,2020,87,,,0,
246,18,Connor Hall,2016,75,,,0,
247,6,Sean Farrell,2020,88,,,0,
248,2,Matt Filipe,2016,76,,,0,
249,9,Blake Biondi,2020,89,,,0,
250,14,Artur Akhtyamov,2020,90,,,0,
251,29,Jonathan Kovacevic,2017,70,,,0,
252,23,Ruslan Iskhakov,2018,49,,,0,
253,7,Matthew Strome,2017,71,,,0,
254,3,Daniil Chechelev,2020,91,,,0,
255,25,Jakub Zboril,2015,20,,,0,
256,25,Nikita Alexandrov,2019,44,,,0,
257,8,Alban Eriksson,2018,50,,,0,
258,28,Michael Benning,2020,92,,,0,
259,21,Jonas Rondbjerg,2017,72,,,0,
260,28,Jaromir Pytlik,2020,93,,,0,
261,11,Evan Barratt,2017,100,,,0,
262,15,Filip Hallander,2018,51,,,0,
263,6,Vladislav Firstov,2019,45,,,0,
264,6,Olof Lindbom,2018,52,,,0,
265,13,William Villeneuve,2020,94,,,0,
266,6,Tyler Tullio,2020,95,,,0,
267,6,Antonio Stranges,2020,96,,,0,
268,19,Hudson Elynuik,2016,87,,,0,
269,19,Louis Belpedio,2014,111,,,0,
270,31,Luke Prokop,2020,97,,,0,
271,8,Jack Lafontaine,2016,88,,,0,
272,2,Linus Lindstrom,2016,82,,,0,
273,15,Adam Brooks,2016,83,,,0,
274,12,Ian Moore,2020,98,,,0,
275,24,Nikita Popugaev,2017,73,,,0,
276,18,Mads Sogaard,2019,46,,,0,
277,18,Tom Nilsson,2011,92,,,0,
278,12,Keith Petruzzelli,2017,74,,,0,
279,6,Andrei Altybarmakyan,2017,75,,,0,
280,30,Jacob Moverare,2016,90,,,0,
281,21,Jack Kopacka,2016,91,,,0,
282,20,Max Gildon,2017,76,,,0,
283,6,Jonny Tychonick,2018,53,,,0,
284,6,Jake Wise,2018,54,,,0,
285,30,Jamieson Rees,2019,47,,,0,
286,12,Samuel Knazko,2020,99,,,0,
287,28,Vladislav Kolyachonok,2019,48,,,0,
288,14,Alexander Nikishin,2020,100,,,0,
289,18,Kirill Marchenko,2018,55,,,0,
290,8,Brett Berard,2020,101,,,0,
292,20,Anthony Camara,2011,98,,,0,
293,5,Wyatt Kaiser,2020,102,,,0,
294,11,Jordan Sambrook,2016,94,,,0,
295,3,Matthew Cairns,2016,95,,,0,
296,19,Brandon Coe,2020,103,,,0,
297,9,Adam Wilsby,2020,104,,,0,
298,26,Eric Cornel,2014,44,,,0,
299,21,Scott Walford,2017,79,,,0,
300,9,Lukas Svejkovsky,2020,105,,,0,
301,5,Kevin Bahl,2018,57,,,0,
302,1,Veeti Miettinen,2020,106,,,0,
303,19,Dmitry Ovchinnikov,2020,107,,,0,
304,10,Gabriel Fortier,2018,58,,,0,
305,14,Jackson Hallum,2020,108,,,0,
306,28,Jack McBain,2018,59,,,0,
307,29,Linus Nassen,2016,98,,,0,
308,6,Alexander Pashin,2020,109,,,0,
309,19,Ivan Morozov,2018,60,,,0,
310,29,Drew Helleson,2019,49,,,0,
311,22,Radim Salda,2018,190,,,0,
312,23,Sean Durzi,2018,61,,,0,
313,6,Eamon Powell,2020,110,,,0,
314,1,Eetu Tuulola,2016,99,,,0,
315,6,Robert Mastrosimone,2019,50,,,0,
316,23,Mikael Pyyhtia,2020,111,,,0,
317,8,Pavel Dorofeyev,2019,51,,,0,
318,26,David Farrance,2017,80,,,0,
319,2,Niklas Nordgren,2018,62,,,0,
320,1,Lane Zablocki,2017,81,,,0,
321,28,Alex Vlasic,2019,52,,,0,
322,22,Ivan Lodnia,2017,82,,,0,
323,8,MacKenzie Entwistle,2017,83,,,0,
324,26,Connor Hurley,2013,43,,,0,
325,12,Kasper Kotkansalo,2017,84,,,0,
326,15,Evan Vierling,2020,112,,,0,
327,29,Jakub Lauko,2018,63,,,0,
328,14,Sam Stange,2020,113,,,0,
329,15,Ostap Safin,2017,85,,,0,
330,21,Cole Candella,2016,102,,,0,
331,31,Axel Andersson,2018,64,,,0,
332,7,Colton Point,2016,103,,,0,
333,19,Martin Fehervary,2018,65,,,0,
334,4,Jonas Johansson,2014,49,,,0,
335,30,Tyler Madden,2018,66,,,0,
336,13,Casey Fitzgerald,2016,104,,,0,
337,23,Colby Ambrosio,2020,114,,,0,
338,24,Bogdan Trineyev,2020,115,,,0,
339,6,Anton Johannesson,2020,116,,,0,
340,6,Kaedan Korczak,2019,53,,,0,
341,26,Stuart Skinner,2017,87,,,0,
342,15,Jack Thompson,2020,117,,,0,
343,24,Scott Reedy,2017,88,,,0,
344,24,Dakota Joshua,2014,154,,,0,
345,19,Alex Cotton,2020,118,,,0,
346,4,Leo Loof,2020,119,,,0,
347,7,Samuel Kurker,2012,62,,,0,
348,18,Nikita Okhotyuk,2019,79,,,0,
349,18,Alexander Ljungkrantz,2020,120,,,0,
350,2,Fredrik Karlstrom,2016,107,,,0,
351,18,Jan Jenik,2018,67,,,0,
352,16,Cameron Crotty,2017,101,,,0,
353,4,Nick Sorensen,2013,47,,,0,
354,29,Oliver Tarnstrom,2020,121,,,0,
355,14,Jackson LaCombe,2019,54,,,0,
356,21,Matthew Stienburg,2019,55,,,0,
357,6,Mitchell Miller,2020,122,,,0,
358,7,Otto Somppi,2016,108,,,0,
359,6,Alexander Khovanov,2018,68,,,0,
360,6,Patrik Puistola,2019,56,,,0,
361,31,Zachary Gallant,2017,89,,,0,
362,15,Albin Grewe,2019,57,,,0,
363,3,Thimo Nickl,2020,123,,,0,
364,19,Zach Nastasiuk,2013,49,,,0,
365,26,Tarmo Reunanen,2016,110,,,0,
366,15,Connor McClennon,2020,124,,,0,
367,14,Jackson Kunz,2020,125,,,0,
368,7,Dillon Hamaliuk,2019,58,,,0,
369,26,Blake McLaughlin,2018,69,,,0,
370,8,Marco Roy,2013,50,,,0,
371,5,Artemi Kniazev,2019,59,,,0,
372,31,Cam Hillis,2018,70,,,0,
373,26,Maksim Zhukov,2017,90,,,0,
374,28,Olivier Rodrigue,2018,71,,,0,
375,19,Paul Bittner,2015,27,,,0,
376,9,Seth Barton,2018,72,,,0,
377,9,Sampo Ranta,2018,73,,,0,
378,8,Nate Schnarr,2017,91,,,0,
379,9,Artyom Galimov,2020,126,,,0,
380,24,Alexander Campbell,2019,80,,,0,
381,14,Mikhail Maltsev,2016,112,,,0,
382,11,Bulat Shafigullin,2018,74,,,0,
383,6,Alec Regula,2018,75,,,0,
384,30,Drake Rymsha,2017,92,,,0,
385,6,Devon Levi,2020,127,,,0,
386,5,Ryan Francis,2020,128,,,0,
387,24,Maksim Berezkin,2020,129,,,0,
388,22,Liam Kirk,2018,76,,,0,
389,10,Hunter Jones,2019,60,,,0,
390,9,Kale Howarth,2017,103,,,0,
391,15,Carson Bantle,2020,130,,,0,
392,20,Vaclav Karabacek,2014,56,,,0,
393,6,Jakub Skarek,2018,77,,,0,
394,24,Tyler Inamoto,2017,104,,,0,
396,20,Aapeli Rasanen,2016,115,,,0,
397,14,Jake Boltmann,2020,131,,,0,
398,11,Allan McShane,2018,78,,,0,
399,5,Vladimir Bobylev,2016,116,,,0,
400,11,Jordan Stallard,2016,117,,,0,
401,14,Joonas Lehtivuori,0,0,,,0,
402,8,Yevgeni Oksentyuk,2020,132,,,0,
403,26,Mitchell Mattson,2016,118,,,0,
404,31,Samuel Bolduc,2019,61,,,0,
405,17,Nathan Legare,2019,62,,,0,
406,26,Alex Jefferies,2020,133,,,0,
407,26,Filip Berglund,2016,120,,,0,
408,29,Maxim Shalunov,2011,122,,,0,
409,9,Parker Foo,2017,107,,,0,
410,4,Ivan Chekhovich,2017,108,,,0,
411,9,Samuel Johannesson,2020,134,,,0,
412,20,Bradley Ross,2010,33,,,0,
413,21,David Quenneville,2016,121,,,0,
414,17,Noel Hoefenmayer,2017,110,,,0,
415,28,Ilya Nikolaev,2019,63,,,0,
416,15,Oskar Magnusson,2020,135,,,0,
417,20,Dillon Heatherington,2013,58,,,0,
418,6,Philipp Kurashev,2018,79,,,0,
419,12,Michael Krutil,2020,136,,,0,
420,2,Max Zimmer,2016,123,,,0,
421,11,Brett Murray,2016,124,,,0,
422,23,Alexandr Darin,2019,112,,,0,
423,1,Brandon Hickey,2014,58,,,0,
424,8,Joshua Jacobs,2014,59,,,0,
425,20,Nicholas Caamano,2016,125,,,0,
426,16,Patrick Harper,2016,126,,,0,
427,15,Karl Henriksson,2019,64,,,0,
428,12,Bear Hughes,2020,137,,,0,
429,5,Lukas Dostal,2018,80,,,0,
430,23,Philippe Desrosiers,2013,68,,,0,
431,16,Tyler Soy,2016,127,,,0,
432,19,Kirill Ustimenko,2017,113,,,0,
433,11,Ben Mirageas,2017,114,,,0,
434,15,Antti Saarela,2019,113,,,0,
435,26,Pavel Novak,2020,138,,,0,
436,27,Nick Ebert,2012,84,,,0,
438,8,Oskar Back,2018,81,,,0,
439,6,Matej Pekar,2018,82,,,0,
440,26,Jaydon Dureau,2020,139,,,0,
441,7,Semyon Der-Arguchintsev,2018,83,,,0,
442,31,Kyle Olson,2017,115,,,0,
443,2,Juho Markkanen,2020,140,,,0,
444,11,Graham McPhee,2016,131,,,0,
445,8,Daniel Ljungman,2020,141,,,0,
447,11,Nicolas Mattinen,2016,132,,,0,
448,12,Ben Meehan,2020,142,,,0,
449,12,Linus Hogberg,2016,133,,,0,
450,5,Linus Karlsson,2018,84,,,0,
451,1,Noah Cates,2017,118,,,0,
452,5,Jacob Cederholm,2016,134,,,0,
453,5,Jack Badini,2017,119,,,0,
454,13,Ilya Sorokin,2014,63,,,0,
455,9,Lars Volden,2011,129,,,0,
456,23,Peter Diliberatore,2018,191,,,0,
457,4,Justus Annunen,2018,85,,,0,
458,22,Denis Smirnov,2017,120,,,0,
459,8,Jayden Struble,2019,65,,,0,
460,15,Mathias From,2016,135,,,0,
461,26,Jacob Truscott,2020,143,,,0,
462,26,Dmitry Zlodeyev,2020,144,,,0,
463,19,Rory Kerins,2020,145,,,0,
464,15,Slava Demin,2018,86,,,0,
465,1,William Dufour,2020,146,,,0,
466,15,Jonathan Gruden,2018,87,,,0,
467,28,Joel Hofer,2018,88,,,0,
468,28,Jack Smith,2020,147,,,0,
469,6,Maxim Cajkovic,2019,66,,,0,
470,24,Thomas Novak,2015,34,,,0,
471,13,Garrett Meurs,2011,139,,,0,
472,5,Oskari Laaksonen,2017,121,,,0,
473,6,Danila Zhuravlyov,2018,122,,,0,
474,24,Cole Fonstad,2018,89,,,0,
475,23,Zachary Uens,2020,148,,,0,
476,9,Amir Miftakhov,2020,149,,,0,
477,6,Alex Beaucage,2019,67,,,0,
478,8,Jakob Ragnarsson,2018,90,,,0,
479,25,Anttoni Honka,2019,68,,,0,
480,26,Timothy Gettinger,2016,137,,,0,
481,6,Ty Emberson,2018,91,,,0,
482,23,Nico Gross,2018,92,,,0,
483,11,Ronan Seeley,2020,150,,,0,
484,9,Ethan Edwards,2020,151,,,0,
485,27,Sebastian Repo,2017,122,,,0,
486,14,Artem Shlaine,2020,152,,,0,
487,15,Dmitry Zavgorodniy,2018,93,,,0,
489,2,Roman Durny,2018,94,,,0,
490,5,Arseny Gritsyuk,2019,131,,,0,
491,27,Pavel Koltygin,2017,124,,,0,
492,15,Kasper Puutio,2020,153,,,0,
493,14,Adam Gilmour,2012,92,,,0,
494,11,Raivis Ansons,2020,154,,,0,
495,13,Alexander Delnov,2012,93,,,0,
496,14,Mason Primeau,2019,114,,,0,
497,9,Linus Oberg,2020,155,,,0,
498,28,Tanner Dickinson,2020,156,,,0,
499,8,Maxim Letunov,2014,68,,,0,
500,20,Tanner Laczynski,2016,139,,,0,
501,29,Clayton Phillips,2017,125,,,0,
502,21,Keegan Iverson,2014,69,,,0,
503,7,Ole Julian Bjorgvik-Holm,2020,157,,,0,
504,6,Albert Johansson,2019,69,,,0,
505,21,Simon Lundmark,2019,70,,,0,
506,11,Louis Crevier,2020,158,,,0,
507,28,Jesper Vikman,2020,159,,,0,
508,12,Elliot Desnoyers,2020,160,,,0,
509,5,Evan Cormier,2016,142,,,0,
510,29,Igor Bobkov,2009,63,,,0,
511,29,Matteo Costantini,2020,161,,,0,
512,29,Ryder Rolston,2020,162,,,0,
513,8,Luke Reid,2020,163,,,0,
514,8,Alfons Malmstrom,2016,143,,,0,
515,28,Liam Gorman,2018,192,,,0,
516,14,Ryan Mantha,2014,115,,,0,
517,8,Daniel Altshuller,2012,102,,,0,
518,19,Rinat Valiev,2014,74,,,0,
519,13,Hardy Haman-Aktell,2016,144,,,0,
520,26,Axel Rindell,2020,164,,,0,
521,21,D'Artagnan Joly,2017,128,,,0,
522,31,Riley Stotts,2018,95,,,0,
523,26,Alexander Gordin,2020,165,,,0,
524,12,Lukas Parik,2019,71,,,0,
525,9,Viktor Persson,2020,166,,,0,
526,24,Malte Setkov,2017,129,,,0,
527,15,Brycen Martin,2014,76,,,0,
528,5,Alex Dostie,2016,146,,,0,
529,22,Olle Eriksson-Ek,2017,130,,,0,
530,11,Dylan Ferguson,2017,131,,,0,
531,28,Adam Raska,2020,167,,,0,
532,30,Ronnie Attard,2019,72,,,0,
533,1,Mikko Kokkonen,2019,73,,,0,
534,1,Milos Roman,2018,96,,,0,
535,17,Brandon Hagel,2016,149,,,0,
536,27,David Bernhardt,2016,150,,,0,
537,27,Jack Rathbone,2017,132,,,0,
538,8,Damien Riat,2016,173,,,0,
539,28,Gunnarwolfe Fontaine,2020,168,,,0,
540,26,Declan McDonnell,2020,169,,,0,
541,26,Isaak Phillips,2020,170,,,0,
542,12,Lucas Mercuri,2020,171,,,0,
543,29,Benjamin Baumgartner,2020,172,,,0,
544,6,Daniil Misyul,2019,74,,,0,
545,26,Austin Wong,2018,193,,,0,
546,27,Matias Rajaniemi,2020,173,,,0,
547,11,Travis Barron,2016,152,,,0,
548,12,John Farinacci,2019,75,,,0,
549,16,Felix Sandstrom,2015,40,,,0,
550,19,Jacob Bryson,2017,133,,,0,
551,26,Noah Ellis,2020,174,,,0,
552,30,Aidan Dudas,2018,98,,,0,
553,30,Filip Cederqvist,2019,115,,,0,
554,27,Riley Sutter,2018,99,,,0,
555,14,Aliaksei Protas,2019,76,,,0,
556,5,Eetu Makiniemi,2017,134,,,0,
557,24,Cole Fraser,2017,135,,,0,
558,31,Graeme Clarke,2019,81,,,0,
559,27,Petr Kvaca,2017,136,,,0,
560,16,Xavier Bernard,2018,100,,,0,
561,4,Tim Soderlund,2017,137,,,0,
562,26,Joey LaLeggia,2012,120,,,0,
563,5,Jordan Harris,2018,101,,,0,
564,28,Jeremy Swayman,2017,138,,,0,
565,31,David Noel,2017,139,,,0,
566,11,Ty Ronning,2016,154,,,0,
567,25,Garin Bjorklund,2020,175,,,0,
568,31,Logan Hutsko,2018,102,,,0,
569,20,Mattias Elfstrom,2016,155,,,0,
570,30,Tyce Thompson,2019,116,,,0,
571,23,Maksim Sushko,2017,140,,,0,
572,28,Layton Ahac,2019,82,,,0,
573,9,Eric Engstrand,2020,176,,,0,
574,15,Curtis Hall,2018,103,,,0,
575,26,Bryce Misley,2017,141,,,0,
576,12,Remi Poirier,2020,177,,,0,
577,10,Nils Aman,2020,178,,,0,
578,2,Kienan Draper,2020,179,,,0,
579,7,Fredrik Olofsson,2014,117,,,0,
580,15,Jake Ryczek,2016,158,,,0,
581,15,Jake Walman,2014,83,,,0,
582,14,Nikolai Chebykin,2016,159,,,0,
584,2,Markus Nurmi,2016,161,,,0,
585,27,Marcus Karlberg,2018,104,,,0,
586,31,Luke Henman,2018,105,,,0,
587,19,Will Cranley,2020,180,,,0,
588,25,Jesper Eliasson,2018,106,,,0,
589,4,Ilya Konovalov,2019,83,,,0,
590,15,Thomas di Pauli,2012,136,,,0,
591,21,Vojtech Budik,2016,162,,,0,
592,25,Peter Thome,2016,163,,,0,
593,21,Niklas Hansson,2013,82,,,0,
594,2,Noah Beck,2020,181,,,0,
595,20,Joshua Brown,2013,167,,,0,
596,23,Eamon McAdam,2013,83,,,0,
597,8,Michael Vukojevic,2019,84,,,0,
598,23,Joey Keane,2018,107,,,0,
599,22,Tyler Wall,2016,164,,,0,
600,19,Elliot Ekmark,2020,182,,,0,
601,22,Jeremy Michel,2019,209,,,0,
602,1,Martin Pospisil,2018,108,,,0,
603,26,Filip Engaras,2020,183,,,0,
604,26,Hugo Ollas,2020,184,,,0,
605,26,Henrik Tikkanen,2020,185,,,0,
606,23,Roope Laavainen,2017,142,,,0,
607,17,Jakub Dobes,2020,186,,,0,
608,12,Oskar Steen,2016,166,,,0,
609,27,William Lagesson,2014,90,,,0,
